SECTION Comments
Name "PrunedDPPlusPlus_irregular.txt"
Creator "graph_v_of_v_idealID_save_for_GSTP"
END

input_graph_size |V|= 1000 |E|= 6661

input_graph Edge 0 1 66.2002428240

input_graph Edge 1 2 26.2002428240
input_graph Edge 1 3 8.2003801175
input_graph Edge 1 4 55.2002428240
input_graph Edge 1 5 67.2002428240
input_graph Edge 1 6 54.2002428240
input_graph Edge 1 7 38.2002428240
input_graph Edge 1 8 88.1998637518
input_graph Edge 1 9 62.2002428240
input_graph Edge 1 10 71.2002428240
input_graph Edge 1 11 89.1992123989
input_graph Edge 1 12 62.2002428240
input_graph Edge 1 13 71.2002428240
input_graph Edge 1 14 56.2002428240
input_graph Edge 1 15 27.2002428240
input_graph Edge 1 16 12.2002453386

input_graph Edge 2 3 52.2002428240
input_graph Edge 2 17 3.2206189776
input_graph Edge 2 18 78.2002428068
input_graph Edge 2 19 59.2002428240
input_graph Edge 2 20 23.2002428241
input_graph Edge 2 21 61.2002428240
input_graph Edge 2 22 80.2002426969
input_graph Edge 2 23 35.2002428240
input_graph Edge 2 24 10.2002614047
input_graph Edge 2 25 57.2002428240
input_graph Edge 2 26 89.8506217263
input_graph Edge 2 27 37.2002428240
input_graph Edge 2 28 50.2002428240
input_graph Edge 2 29 62.2002428240
input_graph Edge 2 30 15.2002429492
input_graph Edge 2 31 84.2002358811
input_graph Edge 2 32 12.2002453386
input_graph Edge 2 33 90.1974418382
input_graph Edge 2 34 56.2002428240
input_graph Edge 2 35 56.2002428240
input_graph Edge 2 36 20.2002428249
input_graph Edge 2 37 47.2002428240
input_graph Edge 2 38 21.2002428243
input_graph Edge 2 39 66.2002428240
input_graph Edge 2 40 94.0473141791
input_graph Edge 2 41 44.2002428240
input_graph Edge 2 42 59.2002428240
input_graph Edge 2 43 71.2002428240
input_graph Edge 2 44 19.2002428263
input_graph Edge 2 45 65.2002428240
input_graph Edge 2 46 38.2002428240
input_graph Edge 2 47 67.2002428240
input_graph Edge 2 48 81.2002424784
input_graph Edge 2 49 90.1974418382
input_graph Edge 2 50 94.7845396676
input_graph Edge 2 51 15.2002429492
input_graph Edge 2 52 65.2002428240
input_graph Edge 2 53 76.2002428217
input_graph Edge 2 54 5.2030004365
input_graph Edge 2 55 43.2002428240
input_graph Edge 2 56 30.2002428240
input_graph Edge 2 57 65.2002428240
input_graph Edge 2 58 87.2001033712
input_graph Edge 2 59 37.2002428240
input_graph Edge 2 60 37.2002428240
input_graph Edge 2 61 14.2002431643
